URL,Product Name,ASIN,Original Price,Discounted Price,Product Rating
https://www.amazon.in/Wheeler-Vehicle-Eashwa-Battery-Type/dp/B0BXY6HHP8/?_encoding=UTF8&pd_rd_w=connd&content-id=amzn1.sym.99739df5-eb66-4227-9b61-f958848d70e2&pf_rd_p=99739df5-eb66-4227-9b61-f958848d70e2&pf_rd_r=QG1FS7ZY2F2HNQBYPNKH&pd_rd_wg=hXN4B&pd_rd_r=785936c7-9936-4d46-851f-13cf4c91051f&ref_=pd_gw_ls_gwc_pc_en4_,Wheeler Vehicle Eashwa Battery Type,B0BXY6HHP8,Not available,Not available,Not available
https://www.amazon.in/iQOO-Stellar-Snapdragon-Segment-Included/dp/B07WHSR1NR/?_encoding=UTF8&_encoding=UTF8&ref_=dlx_gate_sd_dcl_tlt_e2483f9e_dt_pd_gw_unk&pd_rd_w=NYstS&content-id=amzn1.sym.9e4ae409-2145-4395-aa6e-45d7f3e95c3e&pf_rd_p=9e4ae409-2145-4395-aa6e-45d7f3e95c3e&pf_rd_r=QG1FS7ZY2F2HNQBYPNKH&pd_rd_wg=DDBPf&pd_rd_r=239e65cf-ae4c-4d78-bf06-5421d4c64091,iQOO Stellar Snapdragon Segment Included,B07WHSR1NR,Not available,Not available,Not available
https://www.amazon.in/Puma-Unisex-Adult-Smashic-White-Matte-Sneaker/dp/B0BSLKMG4T/ref=lp_1983518031_1_9?pf_rd_p=9e034799-55e2-4ab2-b0d0-eb42f95b2d05&pf_rd_r=AHERSG695CDK5A4HN7XF,Puma Unisex Adult Smashic White Matte Sneaker,B0BSLKMG4T,Not available,Not available,Not available
https://www.amazon.in/Sparx-Mens-Flip-Flops-House-Slippers/dp/B00IZ932WG/ref=lp_1983518031_1_10?pf_rd_p=9e034799-55e2-4ab2-b0d0-eb42f95b2d05&pf_rd_r=AHERSG695CDK5A4HN7XF,Sparx Mens Flip Flops House Slippers,B00IZ932WG,Not available,Not available,Not available
https://www.amazon.in/Mochi-Womens-Fashion-Slippers-5-32-1043/dp/B083NML87L/ref=sr_1_1?dib=eyJ2IjoiMSJ9.85xWEkOf4vJ7bzvMAYTfz1sAWnuL9khRE8a5xvrs8ugsL5shFToiV5Pb7prcGIw0DPOZi0WDnGk7pC6UylK3Jfl_Aiydn4EYKzq2ijDJtSZQwtXBwHzmNMN2QrOD01aPlmYZpIyRinie2I0QV74mlHgt-ppkRSE_PZgNoc3lLnjVOY2PGzkBR23wl3LmLywvFaUnlPCQQ6uBk8LDdrYOFFScJP2j8DiIjCgzGnt3K4RGnD-2lokceJf4gOHF-Tcxv7E1iOSD3Fv0Q9CucjKR2piqnvJo1_SaI1iwi6Q7p_A.9nBQeTtJsLwaysoHN9Pwe2wTK_v9zDIShvxuLUSO_Pw&dib_tag=se&pf_rd_i=1983578031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=74d7d1d6-e2e9-47ad-bcab-eeed4f3a4ba3&pf_rd_r=0A9X4EXZ23XFRAK8P537&pf_rd_s=merchandised-search-11&pf_rd_t=30901&qid=1713962363&refinements=p_n_feature_nineteen_browse-bin%3A11301363031%2Cp_89%3AMochi%2Cp_36%3A60000-%2Cp_n_pct-off-with-tax%3A2665402031%2Cp_72%3A1318477031&rnid=1318475031&s=shoes&sr=1-1,Mochi Womens Fashion Slippers 5 32 1043,B083NML87L,Not available,Not available,Not available
https://www.amazon.in/Fossil-Analog-Blue-Dial-Watch-FS5237/dp/B01KNMEVDG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ZENEAx3vbC4iLaqTV0Qn1u5dvAzGTzbCby9_1THAU_TMf8DnEDl8Cy0VnbcsU8-9sYnWOqNh3b4e4G7QmqJ_zJ0dZLs3DQrQgESwFkhvonCxjkFOktL32PYXJEtPt61SFdguDJSp82oPsitleFzsqrMAUsh9Vwn_D6HJILUs10MyjpXJkCSc9sZ5Ttg74HOp9qKkRcl9UY-0o23dl001r8Ev4BU734QYVPZw2NBQ330kvP8ERSmHqWbVi7Kf45JnFtZNstAAYSlLAstX3gbeVV9lN2cJTMxTIpBkjrhaVlA.dPZIiv-c8kjnZsi8pt1j6RXwu4bxta7oeancL2TwJtw&dib_tag=se&pf_rd_i=2563504031&pf_rd_m=AT95IG9ONZD7S&pf_rd_p=c9b29ee9-57d6-432b-b2e8-9a75932c2d7f&pf_rd_r=29XHJC5D2GQB8CQVHFNJ&pf_rd_s=merchandised-search-18&pf_rd_t=101&qid=1713962393&refinements=p_n_feature_sixteen_browse-bin%3A5756157031%2Cp_n_feature_fourteen_browse-bin%3A11142592031%7C19056941031%7C27064188031%2Cp_72%3A1318476031&rnid=3439816031&s=watch&sr=1-3,Fossil Analog Blue Dial Watch FS5237,B01KNMEVDG,Not available,Not available,Not available
https://www.amazon.in/SKMEI-Analogue-Digital-Watch-1688_RG/dp/B08GD2YMTG/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ZENEAx3vbC4iLaqTV0Qn1u5dvAzGTzbCby9_1THAU_TMf8DnEDl8Cy0VnbcsU8-9sYnWOqNh3b4e4G7QmqJ_zJ0dZLs3DQrQgESwFkhvonCxjkFOktL32PYXJEtPt61SFdguDJSp82oPsitleFzsqrMAUsh9Vwn_D6HJILUs10MyjpXJkCSc9sZ5Ttg74HOp9qKkRcl9UY-0o23dl001r8Ev4BU734QYVPZw2NBQ330kvP8ERSmHqWbVi7Kf45JnFtZNstAAYSlLAstX3gbeVV9lN2cJTMxTIpBkjrhaVlA.dPZIiv-c8kjnZsi8pt1j6RXwu4bxta7oeancL2TwJtw&dib_tag=se&pf_rd_i=2563504031&pf_rd_m=AT95IG9ONZD7S&pf_rd_p=c9b29ee9-57d6-432b-b2e8-9a75932c2d7f&pf_rd_r=29XHJC5D2GQB8CQVHFNJ&pf_rd_s=merchandised-search-18&pf_rd_t=101&qid=1713962393&refinements=p_n_feature_sixteen_browse-bin%3A5756157031%2Cp_n_feature_fourteen_browse-bin%3A11142592031%7C19056941031%7C27064188031%2Cp_72%3A1318476031&rnid=3439816031&s=watch&sr=1-5,SKMEI Analogue Digital Watch 1688_RG,B08GD2YMTG,Not available,Not available,Not available
https://www.amazon.in/Daikin-Fixed-Copper-Filter-FTL28U/dp/B09R4SF5SP/ref=sr_1_2?_encoding=UTF8&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&dib=eyJ2IjoiMSJ9.LpujZ4uISPUK8sa_6yNGVY-3zoi-I7NYK-eHPsE7wGDkgRIyW8-EE2cx1aV8rn8C2KBPTA4lv4HHyaRv6QIgUeRMscymZ6AmgIhQhbiyu2QP-hJk1GWV0WPTR_UUgha-93A6tgf6OTJiApp9PeflYTBruQtTQ-7XtdW9_Aw4_u4La_zasaVx5pY2SMTOlDGRSvqItqTTKMG31UMbLTCPiuScrysJsyu1kyyLBsvHNLjkcCj9O_w17h_pwWg9MZdA4FqiAkB8pvwgZIgbrUjTejk3mg_ISif_s2PP6lPEcss.2yMrRBc6RDs9UPKKvrI5UWUAmyKb0aeLUivs7DIEpzk&dib_tag=se&pd_rd_r=239e65cf-ae4c-4d78-bf06-5421d4c64091&pd_rd_w=DVELW&pd_rd_wg=DDBPf&pf_rd_p=58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_r=QG1FS7ZY2F2HNQBYPNKH&qid=1713962161&refinements=p_85%3A10440599031&rps=1&s=kitchen&sr=1-2&th=1,Daikin Fixed Copper Filter FTL28U,B09R4SF5SP,Not available,Not available,Not available
https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW18C3YWSEW/dp/B0BRKXY81Z/ref=sr_1_11?_encoding=UTF8&content-id=amzn1.sym.58c90a12-100b-4a2f-8e15-7c06f1abe2be&dib=eyJ2IjoiMSJ9.LpujZ4uISPUK8sa_6yNGVY-3zoi-I7NYK-eHPsE7wGDkgRIyW8-EE2cx1aV8rn8C2KBPTA4lv4HHyaRv6QIgUeRMscymZ6AmgIhQhbiyu2QP-hJk1GWV0WPTR_UUgha-93A6tgf6OTJiApp9PeflYTBruQtTQ-7XtdW9_Aw4_u4La_zasaVx5pY2SMTOlDGRSvqItqTTKMG31UMbLTCPiuScrysJsyu1kyyLBsvHNLjkcCj9O_w17h_pwWg9MZdA4FqiAkB8pvwgZIgbrUjTejk3mg_ISif_s2PP6lPEcss.2yMrRBc6RDs9UPKKvrI5UWUAmyKb0aeLUivs7DIEpzk&dib_tag=se&pd_rd_r=239e65cf-ae4c-4d78-bf06-5421d4c64091&pd_rd_w=DVELW&pd_rd_wg=DDBPf&pf_rd_p=58c90a12-100b-4a2f-8e15-7c06f1abe2be&pf_rd_r=QG1FS7ZY2F2HNQBYPNKH&qid=1713962161&refinements=p_85%3A10440599031&rps=1&s=kitchen&sr=1-11,Lloyd Window Copper Silver GLW18C3YWSEW,B0BRKXY81Z,Not available,Not available,Not available
https://www.amazon.in/Nikon-20-9MP-Camera-18-140mm-3-5-5-6G/dp/B06Y5RTN1T/ref=sr_1_7?crid=2XZ4F20OSKYAM&dib=eyJ2IjoiMSJ9.EbbgX4Ud-XHV6ip8D3Grjkjx_2_U9WS09H3BhA9zLEDamSTPeNdRFV84MMmQXBF_Vx_Ghg7OBnc_ZYs9w2TK43h2T9G8mV8Iuni3ejfMK0os5rtQWi5v1FyAp4_z6aptlHWBLHNo2YWasxg_Y_nV3MwUk8MG56meF6x6jSh9Dgrj0cH1Nr-pgSgi3osZpNlB9ihc9xtJ3ugPAqt2y5KrQUm_X6b5Q1u--cTo6297XIQ.6hhiIcMnSJX9GM63vgy1M5l3f0RVkxHDfQiGH_p0TJs&dib_tag=se&keywords=digital+camera&qid=1713962449&sprefix=digital+camera%2Caps%2C218&sr=8-7,Nikon 20 9MP Camera 18 140mm 3 5 5 6G,B06Y5RTN1T,Not available,Not available,Not available
